House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
10,Newfound Drive,Josh,Taylor,22,Son,Single,Male,Health service manager,None,None
10,Newfound Drive,Beverley,Summers-Taylor,21,Daughter,Single,Female,University Student,None,None
11,Newfound Drive,Joyce,Patel,40,Head,Married,Female,Ecologist,None,Catholic
11,Newfound Drive,Philip,Patel,39,Husband,Married,Male,Translator,None,None
11,Newfound Drive,Brenda,Patel,15,Daughter,NA,Female,Student,None,None
11,Newfound Drive,Neil,Patel,13,Son,NA,Male,Student,None,None
11,Newfound Drive,Joe,Patel,10,Son,NA,Male,Student,None,None
11,Newfound Drive,Carolyn,Patel,7,Daughter,NA,Female,Student,None,None
12,Newfound Drive,Donna,Hopkins,44,Head,Married,Female,Insurance account manager,None,Christian
12,Newfound Drive,Simon,Hopkins,56,Husband,Married,Male,Gaffer,None,Christian
12,Newfound Drive,James,Hopkins,21,Son,Single,Male,University Student,None,None
12,Newfound Drive,Adrian,Hopkins,1,Son,NA,Male,Child,None,None
13,Newfound Drive,Ruth,Lynch,73,Head,Divorced,Female,Retired Research scientist (life sciences),None,None
13,Newfound Drive,Tracey,Lambert,14,Granddaughter,NA,Female,Student,None,None
13,Newfound Drive,Eleanor,Lambert,8,Granddaughter,NA,Female,Student,None,None
14,Newfound Drive,Marcus,Miller,28,Head,Married,Male,"Surveyor, mining",None,Methodist
14,Newfound Drive,Carly,Miller,29,Wife,Married,Female,"Administrator, local government",None,Methodist
15,Newfound Drive,Jade,Stewart,56,Head,Single,Female,Unemployed,None,None
15,Newfound Drive,Damian,Marsh,58,Partner,Single,Male,"Psychotherapist, child",None,None
15,Newfound Drive,Owen,Stewart,31,Son,Single,Male,Unemployed,None,None
15,Newfound Drive,Damien,Stewart,29,Son,Divorced,Male,Furniture conservator/restorer,None,None
15,Newfound Drive,Ellie,Stewart,26,Daughter,Single,Female,Town planner,None,None
15,Newfound Drive,Sandra,Stewart,3,Daughter,NA,Female,Child,None,None
16,Newfound Drive,Clare,Abbott,45,Head,Married,Female,"Buyer, retail",None,Catholic
16,Newfound Drive,Peter,Abbott,44,Husband,Married,Male,Quarry manager,None,None
16,Newfound Drive,Elaine,Abbott,15,Daughter,NA,Female,Student,None,None
17,Newfound Drive,Beth,Hill,74,Head,Married,Female,"Retired Designer, television/film set",None,Christian
17,Newfound Drive,Hugh,Hill,77,Husband,Married,Male,"Retired Scientist, forensic",None,Christian
17,Newfound Drive,Lindsey,Hill,50,Daughter,Single,Female,"Civil engineer, contracting",None,Christian
17,Newfound Drive,Lydia,Hill,47,Daughter,Single,Female,Maintenance engineer,None,Christian
18,Newfound Drive,Samantha,Foster-Pickering,64,Head,Divorced,Female,Police officer,None,Christian
18,Newfound Drive,Kayleigh,Foster-Pickering,38,Daughter,Single,Female,Forensic scientist,None,Christian
18,Newfound Drive,Justin,Foster-Pickering,33,Son,Single,Male,Television/film/video producer,None,None
18,Newfound Drive,Malcolm,Foster-Pickering,31,Son,Single,Male,Health and safety adviser,None,None
19,Newfound Drive,Judith,Thompson,50,Head,Married,Female,"Designer, industrial/product",None,None
19,Newfound Drive,Malcolm,Thompson,55,Husband,Married,Male,"Presenter, broadcasting",None,None
19,Newfound Drive,Cheryl,Thompson,21,Daughter,Single,Female,University Student,None,None
19,Newfound Drive,Geraldine,Thompson,19,Daughter,Single,Female,University Student,None,None
19,Newfound Drive,Louis,Thompson,16,Son,Unknown,Male,Student,None,None
19,Newfound Drive,Carl,Thompson,12,Son,NA,Male,Student,None,None
20,Newfound Drive,Kim,Myers,36,Head,Married,Female,Unemployed,None,Catholic
20,Newfound Drive,Keith,Myers,41,Husband,Married,Male,"Journalist, magazine",None,Catholic
20,Newfound Drive,Sarah,Myers,7,Daughter,NA,Female,Student,None,None
20,Newfound Drive,Sarah,Myers,5,Daughter,NA,Female,Student,None,None
20,Newfound Drive,Wayne,Myers,2,Son,NA,Male,Child,None,None
20,Newfound Drive,Sharon,Wilson,20,Lodger,Single,Female,University Student,None,None
20,Newfound Drive,Emily,Bentley,26,Sibling,Divorced,Female,"Designer, jewellery",None,None
21,Newfound Drive,Tracey,Ahmed,52,Head,Divorced,Female,Academic librarian,None,Christian
21,Newfound Drive,Timothy,Ahmed,16,Son,Unknown,Male,Student,None,None
21,Newfound Drive,Adam,Ahmed,15,Son,NA,Male,Student,None,None
21,Newfound Drive,Andrea,Ahmed,12,Daughter,NA,Female,Student,None,None
22,Newfound Drive,Hollie,Harris,41,Head,Single,Female,Unemployed,None,Catholic
22,Newfound Drive,Alex,Murray,43,Partner,Single,Male,Civil Service fast streamer,None,None
22,Newfound Drive,Hugh,Harris,11,Son,NA,Male,Student,None,None
23,Newfound Drive,William,Green,83,Head,Widowed,Male,Retired Dispensing optician,None,None
24,Newfound Drive,Emily,Talbot,49,Head,Married,Female,Race relations officer,None,None
24,Newfound Drive,Colin,Talbot,54,Husband,Married,Male,Aid worker,None,None
24,Newfound Drive,Jasmine,Talbot,10,Daughter,NA,Female,Student,None,None
24,Newfound Drive,Anne,Talbot,6,Daughter,NA,Female,Student,None,None
25,Newfound Drive,Hilary,Clarke,49,Head,Married,Female,Electronics engineer,None,Catholic
25,Newfound Drive,Iain,Clarke,48,Husband,Married,Male,Company secretary,None,None
25,Newfound Drive,Elliot,Clarke,23,Son,Divorced,Male,"Optician, dispensing",None,None
25,Newfound Drive,Dean,Barlow,22,Son,Single,Male,University Student,None,Catholic
25,Newfound Drive,Melissa,Barlow,13,Daughter,NA,Female,Student,None,None
25,Newfound Drive,Roy,Barlow,9,Son,NA,Male,Student,None,None
26,Newfound Drive,Sharon,Briggs,27,Head,Single,Female,PhD Student,None,Catholic
26,Newfound Drive,Teresa,Robertson,18,None,Single,Female,University Student,None,None
26,Newfound Drive,Max,Martin,20,None,Single,Male,University Student,None,Christian
26,Newfound Drive,Victor,Wood,29,None,Single,Male,PhD Student,None,None
27,Newfound Drive,Olivia,Edwards,55,Head,Single,Female,Unemployed,None,None
28,Newfound Drive,Jayne,Dobson,85,Head,Widowed,Female,Retired Water engineer,None,Christian
29,Newfound Drive,Shannon,Bennett,35,Head,Married,Female,Health promotion specialist,None,None
29,Newfound Drive,Benjamin,Bennett,31,Husband,Married,Male,Unemployed,None,None
29,Newfound Drive,Denise,Bennett,15,Daughter,NA,Female,Student,None,None
29,Newfound Drive,Owen,Bennett,15,Son,NA,Male,Student,None,None
30,Newfound Drive,Liam,Douglas,52,Head,Single,Male,Manufacturing engineer,None,Christian
30,Newfound Drive,Aaron,Kerr,25,None,Single,Male,"Therapist, drama",None,Christian
30,Newfound Drive,Leanne,Hewitt,48,None,Single,Female,Publishing rights manager,None,Catholic
30,Newfound Drive,Lesley,Benson,22,None,Single,Female,University Student,None,Christian
31,Newfound Drive,Elizabeth,Morgan,58,Head,Married,Female,Unemployed,None,None
31,Newfound Drive,Paul,Morgan,59,Husband,Married,Male,Recycling officer,None,None
31,Newfound Drive,Hollie,Morgan,28,Daughter,Widowed,Female,"Psychologist, prison and probation services",None,None
31,Newfound Drive,Laura,Morgan,25,Daughter,Widowed,Female,Musician,None,None
31,Newfound Drive,Hilary,Morgan,22,Daughter,Unknown,Female,University Student,None,None
32,Newfound Drive,Dorothy,Kerr,43,Head,Married,Female,Theatre manager,None,Catholic
32,Newfound Drive,Justin,Kerr,49,Husband,Married,Male,Chartered loss adjuster,None,None
32,Newfound Drive,Kate,Kerr,7,Daughter,NA,Female,Student,None,None
32,Newfound Drive,Wayne,Kerr,4,Son,NA,Male,Child,None,None
33,Newfound Drive,Holly,Hughes,70,Head,Married,Female,Retired Financial adviser,None,None
33,Newfound Drive,Richard,Hughes,72,Husband,Married,Male,Retired Fisheries officer,None,None
33,Newfound Drive,Kelly,Hughes,45,Daughter,Divorced,Female,Arts development officer,None,None
33,Newfound Drive,Jasmine,Hughes,44,Daughter,Divorced,Female,Television camera operator,None,None
33,Newfound Drive,Janice,Hughes,40,Daughter,Single,Female,Learning disability nurse,None,None
34,Newfound Drive,Zoe,Moore,43,Head,Divorced,Female,Unemployed,None,Methodist
34,Newfound Drive,Bruce,Moore,7,Son,NA,Male,Student,None,None
35,Newfound Drive,Janice,Knight,41,Head,Single,Female,Chartered loss adjuster,None,None
35,Newfound Drive,Darren,Miller,45,Partner,Single,Male,Outdoor activities/education manager,None,None
35,Newfound Drive,Malcolm,Knight,18,Son,Single,Male,Student,None,None
35,Newfound Drive,Damien,Knight,16,Son,Unknown,Male,Student,None,None
36,Newfound Drive,Karen,Pearce,49,Head,Single,Female,Unemployed,None,Christian
36,Newfound Drive,Patrick,Pearce,32,Son,Divorced,Male,"Geologist, wellsite",None,Christian
36,Newfound Drive,Philip,Pearce,30,Son,Single,Male,Multimedia programmer,None,Christian
37,Newfound Drive,Rita,Morris,28,Head,Married,Female,Bookseller,None,Christian
37,Newfound Drive,Luke,Morris,29,Husband,Married,Male,Estate manager/land agent,None,Christian
37,Newfound Drive,Nathan,Wright,22,Lodger,Single,Male,University Student,None,None
37,Newfound Drive,Brenda,Robson,55,Lodger,Single,Female,Consulting civil engineer,None,Catholic
38,Newfound Drive,Diana,Lewis,53,Head,Single,Female,Unemployed,None,Christian
38,Newfound Drive,Eric,Lewis,17,Son,Unknown,Male,Student,None,None
39,Newfound Drive,Donald,Powell,53,Head,Single,Male,Physiotherapist,None,Christian
39,Newfound Drive,Kimberley,Bradshaw,51,Partner,Single,Female,Futures trader,None,None
39,Newfound Drive,Diana,Powell,16,Daughter,Unknown,Female,Student,None,None
39,Newfound Drive,Jeremy,Powell,15,Son,NA,Male,Student,None,None
39,Newfound Drive,Maurice,Powell,12,Son,NA,Male,Student,None,None
40,Newfound Drive,Ashleigh,Turner,48,Head,Married,Female,Multimedia programmer,None,None
40,Newfound Drive,Kenneth,Turner,52,Husband,Married,Male,Risk manager,None,None
40,Newfound Drive,Gareth,Turner,24,Son,Single,Male,"Optician, dispensing",None,None
40,Newfound Drive,Chloe,Turner,13,Daughter,NA,Female,Student,None,None
41,Newfound Drive,Ann,Green,34,Head,Single,Female,"Surveyor, land/geomatics",None,None
41,Newfound Drive,Owen,Simpson,36,Partner,Single,Male,English as a foreign language teacher,None,None
41,Newfound Drive,Terence,Green,12,Son,NA,Male,Student,None,None
41,Newfound Drive,Richard,Green,10,Son,NA,Male,Student,None,None
1,Wade Manors,Alex,Iqbal,35,Head,Divorced,Male,Energy manager,None,None
2,Wade Manors,Julian,Dale,33,Head,Single,Male,Furniture conservator/restorer,None,Catholic
3,Wade Manors,Natalie,Hall,29,Head,Single,Female,Patent attorney,None,None
4,Wade Manors,Hannah,Porter,70,Head,Widowed,Female,Retired Air cabin crew,None,Christian
5,Wade Manors,Judith,Steele,47,Head,Married,Female,Accounting technician,None,Catholic
5,Wade Manors,Geoffrey,Steele,52,Husband,Married,Male,Actor,None,None
6,Wade Manors,Owen,Edwards,73,Head,Divorced,Male,Retired Wellsite geologist,None,None
6,Wade Manors,Bryan,Edwards,10,Grandson,NA,Male,Student,None,None
7,Wade Manors,Janice,Higgins,38,Head,Single,Female,Unemployed,None,None
8,Wade Manors,Claire,Chandler,54,Head,Single,Female,Chief Financial Officer,None,Christian
9,Wade Manors,Susan,Cook,72,Head,Widowed,Female,Retired Communications engineer,None,Methodist
10,Wade Manors,Kerry,Hammond,39,Head,Single,Female,"Engineer, mining",None,Catholic
11,Wade Manors,Dennis,Richardson,42,Head,Single,Male,Estate agent,None,Catholic
12,Wade Manors,Lynn,Turner,87,Head,Widowed,Female,Retired Site engineer,None,Christian
13,Wade Manors,Stacey,Jenkins,38,Head,Single,Female,"Secretary, company",None,Christian
13,Wade Manors,Declan,Harrison,45,None,Single,Male,"Scientist, forensic",None,Methodist
13,Wade Manors,Marc,Henderson,50,None,Single,Male,Advice worker,None,Christian
14,Wade Manors,Kayleigh,Smith,43,Head,Single,Female,Unemployed,None,Jewish
14,Wade Manors,Steven,Smith,3,Son,NA,Male,Child,None,None
15,Wade Manors,Malcolm,Parkes,44,Head,Divorced,Male,"Geologist, engineering",None,Christian
16,Wade Manors,Lisa,Osborne,81,Head,Widowed,Female,Retired Geochemist,None,Christian
17,Wade Manors,June,Kemp,73,Head,Widowed,Female,Retired Technical brewer,None,Christian
18,Wade Manors,Gary,Potts,24,Head,Single,Male,"Surveyor, planning and development",None,Methodist
19,Wade Manors,Robin,Pearson,18,Head,Married,Male,Student,None,None
19,Wade Manors,Jenna,Pearson,19,Wife,Married,Female,University Student,None,None
20,Wade Manors,Marion,Johnson-Taylor,80,Head,Married,Female,Retired Network engineer,None,Christian
20,Wade Manors,Reece,Johnson-Taylor,81,Husband,Married,Male,Retired Retail banker,None,Christian
21,Wade Manors,Garry,Faulkner,46,Head,Divorced,Male,"Nurse, adult",None,Christian
22,Wade Manors,Beth,Cook,61,Head,Divorced,Female,Magazine journalist,None,Christian
23,Wade Manors,Joanne,Owen,35,Head,Single,Female,Unemployed,None,None
24,Wade Manors,Michael,Saunders,18,Head,Married,Male,Student,None,None
24,Wade Manors,Jade,Saunders,19,Wife,Married,Female,University Student,None,None
25,Wade Manors,Steven,Jones,51,Head,Divorced,Male,Regulatory affairs officer,None,Christian
26,Wade Manors,Rachael,Davies,74,Head,Married,Female,Retired Chartered public finance accountant,None,Christian
26,Wade Manors,Terence,Davies,71,Husband,Married,Male,Retired Ceramics designer,None,None
27,Wade Manors,Katherine,Lee,59,Head,Single,Female,"Engineer, site",None,Christian
27,Wade Manors,Joe,Robinson,58,None,Single,Male,"Journalist, broadcasting",None,Christian
28,Wade Manors,Maureen,Kerr,74,Head,Widowed,Female,Retired Adult nurse,None,None
29,Wade Manors,Alex,Parkinson,19,Head,Single,Male,University Student,None,Sikh
30,Wade Manors,Bethan,Kemp,35,Head,Single,Female,Homeopath,None,Methodist
30,Wade Manors,Charlene,Bond,59,None,Single,Female,Materials engineer,None,None
30,Wade Manors,Charlene,Horton,54,None,Single,Female,"Designer, exhibition/display",None,Christian
31,Wade Manors,Cheryl,Johnson,83,Head,Divorced,Female,Retired Biomedical scientist,None,Christian
32,Wade Manors,Leslie,Pearce,56,Head,Single,Male,Professor Emeritus,None,Christian
33,Wade Manors,Bethany,Barker,73,Head,Divorced,Female,"Retired Engineer, site",None,None
34,Wade Manors,Julie,Shah,70,Head,Widowed,Female,"Retired Engineer, electrical",None,None
35,Wade Manors,Yvonne,Skinner,54,Head,Married,Female,"Designer, furniture",None,Christian
35,Wade Manors,Bernard,Skinner,56,Husband,Married,Male,Education administrator,None,Christian
36,Wade Manors,Steven,Richardson,53,Head,Single,Male,Unemployed,None,None
37,Wade Manors,Jennifer,Holt,35,Head,Married,Female,"Designer, fashion/clothing",None,Catholic
37,Wade Manors,Geoffrey,Holt,37,Husband,Married,Male,Homeopath,None,Catholic
38,Wade Manors,Bethan,Elliott,49,Head,Single,Female,"Designer, industrial/product",None,None
39,Wade Manors,Derek,Jones,54,Head,Divorced,Male,Trade mark attorney,None,Christian
40,Wade Manors,Alison,Barrett,77,Head,Widowed,Female,"Retired Surveyor, minerals",None,None
41,Wade Manors,Joyce,Wilson,39,Head,Married,Female,Surgeon,None,None
41,Wade Manors,Joel,Wilson,37,Husband,Married,Male,"Surveyor, mining",None,None
42,Wade Manors,Georgina,Gough,63,Head,Single,Female,"Therapist, horticultural",None,Catholic
43,Wade Manors,Jade,Stewart,43,Head,Widowed,Female,Unemployed,None,Catholic
43,Wade Manors,Michelle,Stewart,10,Daughter,NA,Female,Student,None,None
44,Wade Manors,Christopher,Burke,86,Head,Widowed,Male,Retired Amenity horticulturist,None,Methodist
45,Wade Manors,Charlotte,Jones,42,Head,Divorced,Female,"Scientist, research (medical)",None,Christian
46,Wade Manors,Nicole,Smith,34,Head,Single,Female,Dance movement psychotherapist,None,None
46,Wade Manors,Robert,Roberts,35,Partner,Single,Male,"Runner, broadcasting/film/video",None,None
46,Wade Manors,Donna,Smith,11,Daughter,NA,Female,Student,None,None
47,Wade Manors,Jill,Pritchard,19,Head,Divorced,Female,University Student,None,Christian
48,Wade Manors,Suzanne,Murray,53,Head,Single,Female,Materials engineer,None,Methodist
49,Wade Manors,Justin,Evans,77,Head,Divorced,Male,Retired Recruitment consultant,None,Methodist
50,Wade Manors,David,Norris,39,Head,Single,Male,Electronics engineer,None,Christian
1,Newfound Creek,Angela,Watson,67,Head,Single,Female,"Lighting technician, broadcasting/film/video",None,Christian
2,Newfound Creek,Laura,Allen,76,Head,Widowed,Female,Retired Speech and language therapist,None,None
3,Newfound Creek,Aaron,Arnold,74,Head,Single,Male,Retired Wellsite geologist,None,Christian
4,Newfound Creek,Gregory,Jackson,48,Head,Single,Male,Community education officer,None,Catholic
4,Newfound Creek,Fiona,Bradshaw,43,Partner,Single,Female,"Production designer, theatre/television/film",None,Catholic
5,Newfound Creek,Geoffrey,Lynch,78,Head,Widowed,Male,Retired Television camera operator,None,Christian
6,Newfound Creek,Louise,Owens,74,Head,Widowed,Female,Retired Social worker,None,Christian
7,Newfound Creek,Graeme,Martin,70,Head,Married,Male,Retired Drilling engineer,None,Christian
7,Newfound Creek,Linda,Martin,69,Wife,Married,Female,"Retired Horticulturist, commercial",None,Christian
8,Newfound Creek,Anna,Morris,73,Head,Widowed,Female,Retired Location manager,None,Christian
9,Newfound Creek,Naomi,Quinn,18,Head,Single,Female,University Student,None,None
9,Newfound Creek,Roy,Smith,22,None,Single,Male,University Student,None,Christian
9,Newfound Creek,Debra,O'Connor,20,None,Single,Female,University Student,None,None
10,Newfound Creek,Heather,Welch,48,Head,Married,Female,"Geologist, engineering",None,Methodist
10,Newfound Creek,Karl,Welch,53,Husband,Married,Male,"Loss adjuster, chartered",None,Methodist
10,Newfound Creek,Rosie,Welch,17,Daughter,Unknown,Female,Student,None,None
11,Newfound Creek,Annette,Smith,26,Head,Single,Female,Unemployed,None,None
11,Newfound Creek,Bradley,Smith,5,Son,NA,Male,Student,None,None
12,Newfound Creek,Grace,Peters,76,Head,Widowed,Female,Retired Health physicist,None,Christian
13,Newfound Creek,Janice,O'Neill,86,Head,Widowed,Female,Retired Health and safety adviser,None,Catholic
14,Newfound Creek,Samuel,Moss,61,Head,Married,Male,Food technologist,None,Sikh
14,Newfound Creek,Clare,Moss,66,Wife,Married,Female,Games developer,None,Sikh
14,Newfound Creek,Elliot,Moss,49,Son,Single,Male,Cartographer,None,Sikh
15,Newfound Creek,Denis,George,30,Head,Single,Male,Theme park manager,None,Catholic
16,Newfound Creek,Danielle,Wood,70,Head,Single,Female,Retired,None,Christian
17,Newfound Creek,Georgina,Graham,70,Head,Single,Female,Retired Chief of Staff,None,None
18,Newfound Creek,Jean,Davidson,26,Head,Single,Female,Community arts worker,None,Catholic
19,Newfound Creek,Mathew,Thomas,86,Head,Widowed,Male,Retired Legal executive,None,None
20,Newfound Creek,Christian,Vincent,64,Head,Single,Male,Industrial buyer,None,Methodist
21,Newfound Creek,Aaron,Simpson,29,Head,Single,Male,Arts administrator,None,Methodist
22,Newfound Creek,Kathleen,Davies,39,Head,Divorced,Female,Clinical embryologist,None,Catholic
23,Newfound Creek,Max,Booth,18,Head,Divorced,Male,Student,None,None
24,Newfound Creek,Stewart,Hall,71,Head,Married,Male,Retired Accommodation manager,None,None
24,Newfound Creek,Hannah,Hall,69,Wife,Married,Female,Retired Music therapist,None,None
25,Newfound Creek,Natasha,Jordan,28,Head,Divorced,Female,Fish farm manager,None,Christian
26,Newfound Creek,Douglas,Atkinson,73,Head,Widowed,Male,Retired Financial planner,None,Methodist
27,Newfound Creek,Bruce,Mills,81,Head,Married,Male,"Retired Engineer, communications",None,Christian
27,Newfound Creek,Melanie,Mills,75,Wife,Married,Female,Retired Midwife,None,Christian
1,Aprildraw Avenue,Roger,Freeman,61,Head,Single,Male,Land,None,None
2,Aprildraw Avenue,Hannah,Mann,51,Head,Divorced,Female,"Merchandiser, retail",None,None
2,Aprildraw Avenue,Mitchell,Turner,28,Son,Single,Male,"Development worker, international aid",None,Christian
3,Aprildraw Avenue,Annette,Burton,84,Head,Widowed,Female,Retired,None,Christian
4,Aprildraw Avenue,Naomi,Thomas,45,Head,Single,Female,Unemployed,None,None
4,Aprildraw Avenue,Grace,Thomas,14,Adopted Daughter,NA,Female,Student,None,None
4,Aprildraw Avenue,Terence,Thomas,12,Son,NA,Male,Student,None,None
5,Aprildraw Avenue,Robert,Heath,20,Head,Widowed,Male,University Student,None,Christian
6,Aprildraw Avenue,Dominic,Fry,39,Head,Married,Male,"Engineer, drilling",None,Catholic
6,Aprildraw Avenue,Lynne,Fry,34,Wife,Married,Female,"Editor, film/video",None,Catholic
6,Aprildraw Avenue,Francesca,Parkinson,50,Lodger,Divorced,Female,Senior tax professional/tax inspector,None,Catholic
7,Aprildraw Avenue,Marian,Scott,81,Head,Married,Female,Retired Naval architect,None,None
7,Aprildraw Avenue,Jacob,Scott,83,Husband,Married,Male,"Retired Engineer, electronics",None,None
8,Aprildraw Avenue,Jeffrey,Parker,63,Head,Single,Male,Unemployed,None,Sikh
9,Aprildraw Avenue,Anna,Baxter,43,Head,Single,Female,Veterinary surgeon,None,Christian
9,Aprildraw Avenue,Caroline,Richards,19,None,Single,Female,University Student,None,None
10,Aprildraw Avenue,Francesca,Smith,73,Head,Divorced,Female,Retired Control and instrumentation engineer,None,None
10,Aprildraw Avenue,Naomi,Smith,36,Daughter,Divorced,Female,Arts administrator,None,None
11,Aprildraw Avenue,Dawn,Fox,35,Head,Divorced,Female,Regulatory affairs officer,None,Christian
11,Aprildraw Avenue,Marc,Mason,43,Lodger,Single,Male,Clinical embryologist,None,None
12,Aprildraw Avenue,Julia,Burrows,45,Head,Single,Female,Materials engineer,None,Christian
13,Aprildraw Avenue,Luke,Hopkins,44,Head,Divorced,Male,Health physicist,None,None
14,Aprildraw Avenue,Steven,Bird,58,Head,Single,Male,Multimedia programmer,None,Christian
15,Aprildraw Avenue,Marc,Morton,33,Head,Single,Male,Fashion designer,None,None
16,Aprildraw Avenue,Thomas,Marsh,61,Head,Divorced,Male,"Engineer, technical sales",None,Catholic
17,Aprildraw Avenue,Ross,Ferguson,67,Head,Divorced,Male,Set designer,None,Christian
18,Aprildraw Avenue,Paul,Harris,41,Head,Single,Male,Unemployed,None,None
19,Aprildraw Avenue,Gregory,Price,45,Head,Divorced,Male,Banker,None,Methodist
20,Aprildraw Avenue,Adam,Smith,80,Head,Widowed,Male,Retired Statistician,None,Methodist
21,Aprildraw Avenue,Debra,Brown,67,Head,Single,Female,"Teacher, special educational needs",None,Catholic
22,Aprildraw Avenue,Karen,Cooper,29,Head,Single,Female,Fish farm manager,None,Muslim
23,Aprildraw Avenue,Pamela,Taylor,44,Head,Married,Female,Theme park manager,None,Catholic
23,Aprildraw Avenue,Abdul,Taylor,46,Husband,Married,Male,Oceanographer,None,None
23,Aprildraw Avenue,Roger,Taylor,14,Son,NA,Male,Student,None,None
23,Aprildraw Avenue,Christine,Taylor,11,Daughter,NA,Female,Student,None,None
24,Aprildraw Avenue,Jayne,Jackson,32,Head,Single,Female,Applications developer,None,Catholic
24,Aprildraw Avenue,Antony,Jackson,9,Son,NA,Male,Student,None,None
25,Aprildraw Avenue,Kate,Austin,67,Head,Divorced,Female,Politician's assistant,None,Christian
26,Aprildraw Avenue,Joel,Wall,88,Head,Widowed,Male,Retired Oncologist,None,Catholic
27,Aprildraw Avenue,Hazel,Lane,54,Head,Single,Female,Proofreader,None,Christian
27,Aprildraw Avenue,Stephen,Hunt,54,Partner,Single,Male,Outdoor activities/education manager,None,Christian
28,Aprildraw Avenue,Stephanie,Lamb,70,Head,Divorced,Female,Retired Music tutor,None,None
28,Aprildraw Avenue,Mohamed,Lamb,33,Son,Single,Male,Broadcast presenter,None,None
29,Aprildraw Avenue,Stephanie,Scott-Baxter,74,Head,Married,Female,Retired Food technologist,None,Christian
29,Aprildraw Avenue,Frederick,Scott-Baxter,76,Husband,Married,Male,Retired Dentist,None,None
30,Aprildraw Avenue,Jeremy,Iqbal,53,Head,Single,Male,Radio producer,None,Methodist
30,Aprildraw Avenue,Iain,Clark,32,None,Single,Male,Scientific laboratory technician,None,None
30,Aprildraw Avenue,Kathryn,Richards,38,None,Single,Female,Lawyer,None,None
31,Aprildraw Avenue,Anna,Parker,32,Head,Single,Female,Minerals surveyor,None,Christian
31,Aprildraw Avenue,David,Thomas,52,None,Single,Male,Product/process development scientist,None,None
32,Aprildraw Avenue,Reece,Davies,61,Head,Single,Male,"Engineer, chemical",None,Methodist
33,Aprildraw Avenue,Gail,Harper,62,Head,Single,Female,"Therapist, horticultural",None,Christian
34,Aprildraw Avenue,Jacqueline,Hawkins,45,Head,Divorced,Female,Medical physicist,None,Christian
35,Aprildraw Avenue,Josh,Mills,51,Head,Single,Male,Patent examiner,None,Christian
35,Aprildraw Avenue,Mohammed,Anderson,29,None,Single,Male,Unemployed,None,Christian
36,Aprildraw Avenue,Jill,Cross,59,Head,Divorced,Female,Dramatherapist,None,None
37,Aprildraw Avenue,Jordan,Green,74,Head,Widowed,Male,"Retired Engineer, materials",None,Methodist
38,Aprildraw Avenue,Paul,Carter,40,Head,Married,Male,Manufacturing systems engineer,None,Methodist
38,Aprildraw Avenue,Melanie,Carter,44,Wife,Married,Female,Wellsite geologist,None,None
39,Aprildraw Avenue,Marilyn,Dean,44,Head,Married,Female,Politician's assistant,None,None
39,Aprildraw Avenue,Craig,Dean,46,Husband,Married,Male,"Administrator, arts",None,None
39,Aprildraw Avenue,Malcolm,Dean,13,Son,NA,Male,Student,None,None
40,Aprildraw Avenue,Katherine,Wright,25,Head,Single,Female,Visual merchandiser,None,Catholic
40,Aprildraw Avenue,Emily,Wright,4,Daughter,NA,Female,Child,None,None
41,Aprildraw Avenue,Chelsea,Gill,19,Head,Single,Female,University Student,None,None
42,Aprildraw Avenue,Julie,Kelly,46,Head,Single,Female,Musician,None,Christian
43,Aprildraw Avenue,Sandra,Middleton,45,Head,Married,Female,"Designer, textile",None,Christian
43,Aprildraw Avenue,Alan,Middleton,46,Husband,Married,Male,"Radiographer, therapeutic",None,Christian
44,Aprildraw Avenue,Dennis,Matthews,27,Head,Single,Male,"Designer, industrial/product",None,Sikh
45,Aprildraw Avenue,Victor,Turner,41,Head,Single,Male,Office manager,None,None
46,Aprildraw Avenue,Marcus,Myers,36,Head,Married,Male,Dietitian,None,None
46,Aprildraw Avenue,Jayne,Myers,34,Wife,Married,Female,Health and safety adviser,None,None
47,Aprildraw Avenue,Lesley,Cook,101,Head,Divorced,Female,Retired Magazine journalist,None,Christian
48,Aprildraw Avenue,Josh,Russell,59,Head,Single,Male,Financial planner,None,Christian
49,Aprildraw Avenue,Brandon,Ford,46,Head,Single,Male,Licensed conveyancer,None,Christian
50,Aprildraw Avenue,Andrew,Daly,74,Head,Married,Male,Retired Patent examiner,None,Christian
50,Aprildraw Avenue,Zoe,Daly,74,Wife,Married,Female,"Retired Editor, film/video",None,Christian
51,Aprildraw Avenue,Leon,Sykes,54,Head,Single,Male,Photographer,None,Methodist
52,Aprildraw Avenue,Brenda,Cox,104,Head,Divorced,Female,Retired Sports administrator,None,Christian
53,Aprildraw Avenue,Amy,Ross,69,Head,Divorced,Female,Retired Forensic psychologist,None,Christian
54,Aprildraw Avenue,Anne,Roberts,75,Head,Divorced,Female,Retired Exercise physiologist,None,Christian
55,Aprildraw Avenue,Sheila,Fisher,25,Head,Divorced,Female,Unemployed,None,None
55,Aprildraw Avenue,Jonathan,Fisher,2,Son,NA,Male,Child,None,None
56,Aprildraw Avenue,Jacob,Smith,75,Head,Widowed,Male,Retired Operational researcher,None,Methodist
57,Aprildraw Avenue,Tina,Taylor,40,Head,Divorced,Female,Occupational psychologist,None,Catholic
